zip,price,rent,ROI,median_income,annual_mortgage_interest_cost,cash_flow,ROI_after_interest,z_roi_ai,z_income,z_price,investment_score,state
46368,261641.5290964541,1441.0277777777776,0.0660916995595088,76368,17006.699391269518,285.6339420638142,0.0010916995595088,-0.3322394139295351,0.1424374964434899,0.1511474132416771,-0.153617940680056,Indiana
46222,125041.15140995895,1119.0017094017094,0.1073888104948386,50783,8127.674841647332,5300.345671173181,0.0423888104948386,1.241308613243273,-0.8469772075279695,-1.2017824391347531,0.6069176321901962,Indiana
46219,179692.14701350208,1032.8238095238096,0.068972884571046,60803,11679.989555877635,713.8961584080807,0.003972884571046,-0.2224573277704358,-0.4594870635454006,-0.6605030908168426,-0.1169741647854696,Indiana
46835,250704.3399,1113.857142857143,0.0533149355117554,77152,16295.7820935,-2929.496379214286,-0.0116850644882445,-0.8190737567114905,0.1727560865515073,0.0428223118357924,-0.3662745147574516,Indiana
46131,272754.2577344928,1664.177777777778,0.0732165778059929,85076,17729.026752742033,2241.106580591302,0.0082165778059929,-0.0607594519012439,0.4791904080003971,0.2612111083089528,0.0611351747877065,Indiana
46220,329930.9727,1456.0944444444442,0.0529599667177089,108050,21445.5132255,-3972.379892166668,-0.012040033282291,-0.8325991688512037,1.367633378844263,0.8275059154520853,-0.17151075386274,Indiana
47630,310081.0740474381,1337.611111111111,0.0517649565767361,94162,20155.26981308348,-4103.936479750144,-0.0132350434232638,-0.8781327620539803,0.8305612112165269,0.630906748535194,-0.3160793673690709,Indiana
46142,308929.7801270246,1385.035052910053,0.053799995028277,89001,20080.4357082566,-3460.015073335966,-0.0112000049717229,-0.8005914845138258,0.6309767168957646,0.6195039988490862,-0.3349035269580007,Indiana
46902,193156.6229,1052.0555555555557,0.0653597400758173,62126,12555.1804885,69.48617816666774,0.0003597400758173,-0.3601293407415294,-0.4083244427381213,-0.5271470073127882,-0.1971326017296434,Indiana
46260,296967.2338,1268.4448603683898,0.0512559521454541,72504,19302.870197,-4081.531872579322,-0.0137440478545459,-0.8975274097793456,-0.0069898405174527,0.5010234623354034,-0.5510653495119893,Indiana
46062,425501.5876973135,1702.1809523809525,0.0480049241158222,120100,27657.60320032538,-7231.431771753949,-0.0169950758841777,-1.0214016621531163,1.8336270150708052,1.7740650701902292,-0.3154257405933625,Indiana
46168,321735.29887385364,1651.2771672771676,0.0615889088846767,90000,20912.794426800487,-1097.4684194744768,-0.0034110911153232,-0.5038097059591549,0.6696097162808531,0.7463335792731804,-0.2002886539499576,Indiana
47714,135265.83114694417,1001.9285714285714,0.0888852916896779,55910,8792.279024551372,3230.8638325914853,0.0238852916896779,0.536267150240915,-0.6487075500231162,-1.1005142385525868,0.29362415782404,Indiana
47802,187036.3223409797,1105.5,0.0709273997369088,57395,12157.36095216368,1108.6390478363192,0.0059273997369088,-0.1479842371918017,-0.5912801185047414,-0.5877642433120801,-0.1338233054849072,Indiana
47304,202567.14672713904,1235.2222222222224,0.0731740902024602,63215,13166.86453726404,1655.8021294026294,0.0081740902024602,-0.0623783613891945,-0.3662109929579799,-0.4339424435490172,-0.0542639898721877,Indiana
46239,287337.7382916189,2019.4555555555555,0.0843379181960155,100331,18676.95298895523,5556.513677711439,0.0193379181960155,0.3629981145213031,1.0691267499618828,0.405650139382274,0.4211070543727616,Indiana
46241,150353.82754814983,1240.5555555555557,0.0990108925687263,53653,9772.99879062974,5113.667876036929,0.0340108925687263,0.9220839525861604,-0.7359895115968345,-0.9510783358892122,0.4304607899918723,Indiana
46544,193964.1136603385,1140.0317460317465,0.0705304743966064,58829,12607.667387922003,1072.7135644589544,0.0055304743966063,-0.1631083238899216,-0.53582494221023,-0.5191493840727747,-0.1384717677934749,Indiana
46526,253379.7644516911,1189.611111111111,0.0563396740233967,67461,16469.68468935992,-2194.351356026589,-0.0086603259766032,-0.703821836906248,-0.2020110776535899,0.0693204943816052,-0.426378340625522,Indiana
47403,267531.27771244064,1369.35,0.0614216032626374,70582,17389.53305130864,-957.333051308644,-0.0035783967373625,-0.5101845691283284,-0.0813167922873626,0.2094811957722708,-0.3213835614048271,Indiana
